,0
20799,3
18119,2
13119,1
26797,4
10709,5
19914,2
6121,3
9611,5
9904,5
11372,1
1032,3
10316,5
12234,1
5447,1
11886,1
26170,4
5331,1
8576,5
10989,1
298,2
578,2
12791,1
24500,4
3751,5
22844,3
20062,2
16696,2
1917,4
10456,5
21249,3
20048,2
18714,2
12118,1
5308,1
20760,3
11760,1
9865,5
6955,4
5829,3
3928,5
19938,2
23716,3
11777,1
5931,3
3828,5
22270,3
24780,4
18310,2
3857,5
25236,4
13832,1
1300,4
17802,2
23189,3
24532,4
5136,1
11512,1
2798,5
12951,1
21967,3
14079,1
19179,2
12251,1
15374,2
2610,5
9231,5
11678,1
2560,5
17631,2
12430,1
9025,5
4034,5
25202,4
6013,3
7973,4
18023,2
20526,3
12340,1
25252,4
26001,4
7760,4
12594,1
21422,3
16698,2
11241,1
20724,3
15847,2
11649,1
1092,3
11957,1
19541,2
18275,2
15065,1
23890,4
20471,3
13148,1
11230,1
17275,2
16748,2
2716,5
19456,2
6926,4
14725,1
23300,3
7684,4
16935,2
14494,1
1826,4
10055,5
20231,3
1139,4
25823,4
22523,3
21077,3
19409,2
20769,3
391,2
13529,1
10729,5
10424,5
23444,3
5709,2
24281,4
16951,2
10131,5
9733,5
23488,3
17572,2
5347,1
995,3
4642,5
18817,2
23960,4
1987,4
22815,3
12157,1
9763,5
4466,5
26236,4
24221,4
2072,4
7570,4
1340,4
15972,2
9311,5
19946,2
10847,5
12280,1
21323,3
8977,5
18211,2
20509,3
13195,1
15104,1
19852,2
16014,2
8484,5
6697,3
9191,5
8284,5
3153,5
3299,5
12296,1
24358,4
1901,4
17457,2
14746,1
4253,5
23223,3
8490,5
24385,4
15274,1
9084,5
16012,2
1145,4
11216,1
16200,2
9884,5
3698,5
22620,3
19374,2
11912,1
17848,2
11745,1
19679,2
1598,4
13133,1
4502,5
3246,5
204,1
20679,3
18967,2
1443,4
19494,2
9759,5
5484,1
15500,2
10677,5
6153,3
19224,2
18907,2
24068,4
3427,5
18080,2
933,3
17974,2
22483,3
20989,3
11484,1
11149,1
5423,1
26087,4
5081,1
21552,3
9861,5
21208,3
10081,5
13900,1
8756,5
25446,4
14676,1
24314,4
26163,4
25012,4
11830,1
20084,2
26314,4
1383,4
22528,3
18942,2
11073,1
14821,1
16577,2
21303,3
21997,3
18152,2
23209,3
25213,4
23493,3
10831,5
11748,1
743,3
23998,4
19006,2
8732,5
23383,3
19590,2
18076,2
10910,1
16566,2
10233,5
11385,1
12160,1
7296,4
24945,4
4504,5
1687,4
12020,1
16522,2
10286,5
2916,5
3745,5
22185,3
4418,5
15786,2
2826,5
16112,2
26425,4
10209,5
26265,4
7781,4
10896,5
11620,1
1852,4
2778,5
26674,4
6858,4
11498,1
22698,3
24908,4
17000,2
7524,4
5946,3
1352,4
8238,5
24541,4
16973,2
2027,4
4677,5
24864,4
12506,1
6301,3
4768,5
355,2
7610,4
5922,3
2633,5
1980,4
22128,3
2561,5
14944,1
10871,5
18130,2
3976,5
1738,4
6103,3
22374,3
11331,1
12169,1
8953,5
13444,1
4172,5
15836,2
25045,4
19486,2
6207,3
4273,5
1238,4
13682,1
12726,1
1006,3
16140,2
6111,3
14755,1
14550,1
23252,3
8998,5
16571,2
25131,4
3532,5
4546,5
26046,4
5066,1
2653,5
11292,1
15227,1
23082,3
21045,3
12762,1
613,3
23698,3
17476,2
2726,5
9277,5
11450,1
23096,3
15534,2
1657,4
21935,3
1992,4
22259,3
17213,2
1614,4
26771,4
12307,1
10348,5
4674,5
9882,5
11357,1
25203,4
14664,1
7589,4
22144,3
20502,3
6498,3
3875,5
20918,3
52,1
25437,4
1800,4
334,2
19981,2
19315,2
250,1
10646,5
16678,2
2905,5
11358,1
19369,2
23680,3
23445,3
21794,3
23520,3
24926,4
16860,2
382,2
7549,4
5959,3
20662,3
20668,3
18734,2
15220,1
26520,4
19386,2
4829,1
17726,2
21604,3
16300,2
19788,2
8033,4
22299,3
16430,2
1386,4
16582,2
25641,4
3081,5
769,3
16534,2
13162,1
4146,5
5750,3
76,1
16492,2
6066,3
24579,4
369,2
2516,5
13089,1
14265,1
43,1
19016,2
15054,1
11623,1
11716,1
21656,3
26157,4
16644,2
9528,5
24088,4
2612,5
9516,5
17814,2
19347,2
22558,3
11504,1
23382,3
17949,2
26718,4
4091,5
3435,5
1104,3
21743,3
13993,1
3161,5
23153,3
16354,2
24495,4
10313,5
22394,3
9797,5
15460,2
6621,3
4082,5
15010,1
3171,5
3726,5
8331,5
23537,3
14630,1
25453,4
14958,1
7478,4
8466,5
3252,5
21350,3
18170,2
26353,4
15436,2
9936,5
21210,3
12800,1
5752,3
12693,1
20328,3
3110,5
3627,5
19275,2
5149,1
9908,5
136,1
2945,5
18308,2
2142,4
16535,2
23582,3
10443,5
22061,3
13323,1
8704,5
20522,3
25025,4
20378,3
5923,3
22680,3
7879,4
18320,2
955,3
7876,4
25808,4
5835,3
13404,1
18503,2
4174,5
22947,3
2147,4
3560,5
13710,1
12261,1
10459,5
644,3
7412,4
22991,3
18995,2
22082,3
7429,4
9772,5
19861,2
19549,2
14983,1
19407,2
22626,3
18429,2
26689,4
11483,1
22422,3
16402,2
6491,3
9858,5
16931,2
11779,1
185,1
15845,2
15988,2
17923,2
25473,4
22333,3
5313,1
5968,3
6562,3
14772,1
15392,2
20547,3
343,2
19444,2
9706,5
21987,3
8706,5
22317,3
26658,4
5279,1
13784,1
5237,1
20764,3
26294,4
1110,3
10770,5
10263,5
21883,3
3802,5
16385,2
18839,2
12222,1
25787,4
26515,4
8322,5
10755,5
3445,5
12122,1
6315,3
1067,3
8299,5
7364,4
26657,4
10796,5
10750,5
11807,1
23415,3
2120,4
21667,3
22756,3
24121,4
21850,3
18534,2
18652,2
19898,2
25673,4
13997,1
6007,3
11237,1
6010,3
17672,2
14347,1
12168,1
25674,4
10287,5
6941,4
3012,5
17243,2
11750,1
10515,5
15136,1
19838,2
2772,5
6347,3
10979,1
16898,2
24388,4
16683,2
23092,3
2064,4
18120,2
26488,4
3576,5
11692,1
19020,2
8123,4
21654,3
8170,5
12566,1
24079,4
15938,2
16247,2
5448,1
13744,1
12655,1
19997,2
24653,4
3478,5
24814,4
25679,4
1918,4
7527,4
14766,1
20074,2
5888,3
22809,3
694,3
9895,5
13834,1
13113,1
6352,3
24195,4
